,id,state_name,state_ab,county,city,zip_code,census_lat,census_lon,mean,median,stdev,sum_w
8741,17024409,Illinois,IL,Adams County,Chicago,60647,41.9156388,-87.7044798,66546,52780,51472,397.6137693
8742,17024419,Illinois,IL,Adams County,Chicago,60639,41.9116892,-87.7339434,30233,25293,26149,523.5738594
8743,17024429,Illinois,IL,Adams County,Chicago,60651,41.9063229,-87.7215397,37201,27613,26218,333.1249695
8744,17022089,Illinois,IL,Adams County,Libertyville,60048,42.2875275,-87.9709065,123770,104719,80280,378.107987
8745,17024449,Illinois,IL,Adams County,Chicago,60622,41.9119698,-87.6836341,127429,116708,72179,353.5362538
8746,17024459,Illinois,IL,Adams County,Chicago,60622,41.906707,-87.6846858,125702,105312,82406,99.29012592
8747,17024469,Illinois,IL,Adams County,Chicago,60642,41.9067097,-87.6653277,89382,74140,64361,270.9190276
8748,17024479,Illinois,IL,Adams County,Chicago,60622,41.8995065,-87.6796003,95393,76304,65442,287.4808986
8749,17024489,Illinois,IL,Adams County,Chicago,60622,41.8974254,-87.6993742,53125,24637,60266,513.1802203
8750,1702449,Illinois,IL,Adams County,Chicago,60642,41.8925579,-87.6598479,94705,77648,71305,626.1676397
8751,17024499,Illinois,IL,Adams County,Chicago,60642,41.8924781,-87.6647388,80798,300000,57873,260.8882651
8752,17024509,Illinois,IL,Adams County,Chicago,60639,41.9128419,-87.7608408,38356,30217,29287,223.3261997
8753,17024519,Illinois,IL,Adams County,Chicago,60707,41.914618,-87.796796,88413,300000,53983,147.5589016
8754,17024529,Illinois,IL,Adams County,Chicago,60651,41.9058206,-87.7608128,31877,27847,22925,326.3187107
8755,17024549,Illinois,IL,Adams County,Chicago,60644,41.8909574,-87.7701248,42664,37632,27557,217.9272594
